http://id.loc.gov/vocabulary/relators/sll,Seller,sll
http://id.loc.gov/vocabulary/relators/rsr,Restorationist,rsr
http://id.loc.gov/vocabulary/relators/dto,Dedicator,dto
http://id.loc.gov/vocabulary/relators/hst,Host,hst
http://id.loc.gov/vocabulary/relators/prm,Printmaker,prm
http://id.loc.gov/vocabulary/relators/rsg,Restager,rsg
http://id.loc.gov/vocabulary/relators/abr,Abridger,abr
http://id.loc.gov/vocabulary/relators/rcd,Recordist,rcd
http://id.loc.gov/vocabulary/relators/cns,Censor,cns
http://id.loc.gov/vocabulary/relators/ctb,Contributor,ctb
http://id.loc.gov/vocabulary/relators/rth,Research team head,rth
http://id.loc.gov/vocabulary/relators/uvp,University place,uvp
http://id.loc.gov/vocabulary/relators/srv,Surveyor,srv
http://id.loc.gov/vocabulary/relators/aud,Author of dialog,aud
http://id.loc.gov/vocabulary/relators/tch,Teacher,tch
http://id.loc.gov/vocabulary/relators/pat,Patron,pat
http://id.loc.gov/vocabulary/relators/wpr,Writer of preface,wpr
http://id.loc.gov/vocabulary/relators/prs,Production designer,prs
http://id.loc.gov/vocabulary/relators/art,Artist,art
http://id.loc.gov/vocabulary/relators/mcp,Music copyist,mcp
http://id.loc.gov/vocabulary/relators/pan,Panelist,pan
http://id.loc.gov/vocabulary/relators/stg,Setting,stg
http://id.loc.gov/vocabulary/relators/pte,Plaintiff-appellee,pte
http://id.loc.gov/vocabulary/relators/apl,Appellant,apl
http://id.loc.gov/vocabulary/relators/mfp,Manufacture place,mfp
http://id.loc.gov/vocabulary/relators/edm,Editor of moving image work,edm
http://id.loc.gov/vocabulary/relators/wit,Witness,wit
http://id.loc.gov/vocabulary/relators/act,Actor,act
http://id.loc.gov/vocabulary/relators/rpt,Reporter,rpt
http://id.loc.gov/vocabulary/relators/stn,Standards body,stn
http://id.loc.gov/vocabulary/relators/ive,Interviewee,ive
http://id.loc.gov/vocabulary/relators/aui,"Author of introduction, etc.",aui
http://id.loc.gov/vocabulary/relators/lsa,Landscape architect,lsa
http://id.loc.gov/vocabulary/relators/auc,Auctioneer,auc
http://id.loc.gov/vocabulary/relators/sgn,Signer,sgn
http://id.loc.gov/vocabulary/relators/ctt,Contestee-appellant,ctt
http://id.loc.gov/vocabulary/relators/pdr,Project director,pdr
http://id.loc.gov/vocabulary/relators/cng,Cinematographer,cng
http://id.loc.gov/vocabulary/relators/jud,Judge,jud
http://id.loc.gov/vocabulary/relators/led,Lead,led
http://id.loc.gov/vocabulary/relators/brd,Broadcaster,brd
http://id.loc.gov/vocabulary/relators/col,Collector,col
http://id.loc.gov/vocabulary/relators/dfe,Defendant-appellee,dfe
http://id.loc.gov/vocabulary/relators/own,Owner,own
http://id.loc.gov/vocabulary/relators/nrt,Narrator,nrt
http://id.loc.gov/vocabulary/relators/cmt,Compositor,cmt
http://id.loc.gov/vocabulary/relators/lit,Libelant-appellant,lit
http://id.loc.gov/vocabulary/relators/dnc,Dancer,dnc
http://id.loc.gov/vocabulary/relators/etr,Etcher,etr
http://id.loc.gov/vocabulary/relators/flm,Film editor,flm
http://id.loc.gov/vocabulary/relators/lbt,Librettist,lbt
http://id.loc.gov/vocabulary/relators/rpc,Radio producer,rpc
http://id.loc.gov/vocabulary/relators/exp,Expert,exp
http://id.loc.gov/vocabulary/relators/rce,Recording engineer,rce
http://id.loc.gov/vocabulary/relators/sht,Supporting host,sht
http://id.loc.gov/vocabulary/relators/rbr,Rubricator,rbr
http://id.loc.gov/vocabulary/relators/dte,Dedicatee,dte
http://id.loc.gov/vocabulary/relators/pra,Praeses,pra
http://id.loc.gov/vocabulary/relators/cou,Court governed,cou
http://id.loc.gov/vocabulary/relators/rpy,Responsible party,rpy
http://id.loc.gov/vocabulary/relators/drt,Director,drt
http://id.loc.gov/vocabulary/relators/coe,Contestant-appellee,coe
http://id.loc.gov/vocabulary/relators/itr,Instrumentalist,itr
http://id.loc.gov/vocabulary/relators/aut,Author,aut
http://id.loc.gov/vocabulary/relators/msd,Musical director,msd
http://id.loc.gov/vocabulary/relators/dgg,Degree granting institution,dgg
http://id.loc.gov/vocabulary/relators/spn,Sponsor,spn
http://id.loc.gov/vocabulary/relators/dbp,Distribution place,dbp
http://id.loc.gov/vocabulary/relators/jug,Jurisdiction governed,jug
http://id.loc.gov/vocabulary/relators/csp,Consultant to a project,csp
http://id.loc.gov/vocabulary/relators/rst,Respondent-appellant,rst
http://id.loc.gov/vocabulary/relators/rdd,Radio director,rdd
http://id.loc.gov/vocabulary/relators/bdd,Binding designer,bdd
http://id.loc.gov/vocabulary/relators/wac,Writer of added commentary,wac
http://id.loc.gov/vocabulary/relators/ths,Thesis advisor,ths
http://id.loc.gov/vocabulary/relators/len,Lender,len
http://id.loc.gov/vocabulary/relators/cpl,Complainant,cpl
http://id.loc.gov/vocabulary/relators/bkd,Book designer,bkd
http://id.loc.gov/vocabulary/relators/cur,Curator,cur
http://id.loc.gov/vocabulary/relators/pad,Place of address,pad
http://id.loc.gov/vocabulary/relators/pfr,Proofreader,pfr
http://id.loc.gov/vocabulary/relators/ren,Renderer,ren
http://id.loc.gov/vocabulary/relators/let,Libelee-appellant,let
http://id.loc.gov/vocabulary/relators/cwt,Commentator for written text,cwt
http://id.loc.gov/vocabulary/relators/clr,Colorist,clr
http://id.loc.gov/vocabulary/relators/aqt,Author in quotations or text abstracts,aqt
http://id.loc.gov/vocabulary/relators/dgs,Degree supervisor,dgs
http://id.loc.gov/vocabulary/relators/bnd,Binder,bnd
http://id.loc.gov/vocabulary/relators/spy,Second party,spy
http://id.loc.gov/vocabulary/relators/lyr,Lyricist,lyr
http://id.loc.gov/vocabulary/relators/aft,"Author of afterword, colophon, etc.",aft
http://id.loc.gov/vocabulary/relators/mrk,Markup editor,mrk
http://id.loc.gov/vocabulary/relators/dfd,Defendant,dfd
http://id.loc.gov/vocabulary/relators/prf,Performer,prf
